,T0,T1,T2,D_0
T0,-0.91,-0.47,-0.12,0.0
T1,-0.33,-1.92,0.01,0.0
T2,-0.0,0.26,-2.15,-0.0
D_0,0.21,0.74,-0.0,-0.81
