,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EPHA7/6q (Del)
TP53 (M),0.23,0.0,-1.12,-2.79,-0.23,-2.71
RB1 (M),1.02,-3.4,-0.0,-1.17,-0.94,-1.23
RB1/13q (Del),0.52,-0.1,-1.39,-0.58,-0.93,0.36
STK11 (M),-0.69,-1.49,-0.79,-1.25,-0.0,-0.67
KEAP1 (M),-0.65,-0.04,-0.54,2.28,-2.36,-0.2
EPHA7/6q (Del),-0.32,-0.53,0.0,0.01,-0.41,-0.9
