,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),BRAF (M)
TP53 (M),-0.15,1.01,-0.0,-2.0,-0.13,-0.34
RB1 (M),0.0,-3.02,0.08,-1.32,-0.98,-0.65
RB1/13q (Del),-0.48,0.0,-0.87,-1.16,-1.24,-0.73
STK11 (M),-0.96,-1.46,-0.42,-1.34,-0.0,0.0
KEAP1 (M),-1.04,-0.0,-0.26,2.24,-2.31,-0.98
BRAF (M),-1.1,-0.01,-0.4,-1.36,0.0,-2.42
