,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ERBB2 (M)
TP53 (M),-0.16,1.0,-0.0,-1.98,-0.09,0.0
RB1 (M),0.0,-3.03,0.07,-1.37,-1.03,-0.01
RB1/13q (Del),-0.48,0.0,-0.87,-1.37,-1.43,-0.21
STK11 (M),-0.99,-1.4,-0.32,-1.33,-0.0,-0.75
KEAP1 (M),-1.11,-0.0,-0.16,2.21,-2.32,-0.82
ERBB2 (M),-1.3,-0.01,-1.24,-1.63,-0.13,-2.59
