,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),EGFR/7p (Amp)
TP53 (M),-0.13,0.0,-0.0,-2.17,-0.1,-0.0
RB1 (M),0.94,-3.53,0.0,-1.45,-0.95,0.02
RB1/13q (Del),-0.41,-0.0,-0.82,-1.55,-1.29,-0.34
STK11 (M),-0.76,-1.09,-0.17,-1.24,-0.0,-1.05
KEAP1 (M),-0.92,-0.0,-0.12,2.15,-2.2,-0.85
EGFR/7p (Amp),-0.15,0.0,-0.01,-1.71,-1.58,-0.58
