,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),APC (M)
TP53 (M),-0.16,0.98,-0.0,-1.95,-0.06,-0.0
RB1 (M),0.0,-3.04,0.07,-1.38,-1.0,-0.0
RB1/13q (Del),-0.49,0.0,-0.87,-1.35,-1.34,-0.37
STK11 (M),-1.02,-1.4,-0.33,-1.34,0.0,0.02
KEAP1 (M),-1.17,-0.0,-0.17,2.2,-2.32,-0.0
APC (M),-0.45,-0.0,-0.29,0.03,0.0,-3.25
