,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),TERT/5p (Amp)
TP53 (M),-0.28,0.0,0.01,-1.85,-0.02,0.39
RB1 (M),0.78,-3.69,-0.0,-1.43,-0.94,0.59
RB1/13q (Del),-0.58,-0.0,-0.85,-1.54,-1.39,-0.0
STK11 (M),-1.06,-1.16,-0.22,-1.28,-0.0,-0.26
KEAP1 (M),-1.16,-0.0,-0.08,2.2,-2.2,-0.49
TERT/5p (Amp),-2.06,0.0,-0.47,-2.22,-2.08,0.06
