,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),ATM (M)
TP53 (M),-0.11,0.95,-0.0,-2.32,-0.0,-1.69
RB1 (M),0.0,-3.0,0.08,-1.34,-0.97,-1.34
RB1/13q (Del),-0.44,0.0,-0.88,-1.68,-1.27,-0.12
STK11 (M),-0.85,-1.41,-0.27,-1.44,-0.0,0.6
KEAP1 (M),-1.16,-0.0,-0.07,2.31,-2.29,-2.01
ATM (M),-1.31,-0.32,-0.3,-2.27,0.88,-2.29
