,TP53 (M),RB1 (M),RB1/13q (Del),STK11 (M),KEAP1 (M),MET (M)
TP53 (M),-0.09,0.0,-0.0,-2.05,-0.18,-1.46
RB1 (M),0.99,-3.55,-0.0,-1.41,-1.04,0.0
RB1/13q (Del),-0.47,-0.0,-0.85,-1.43,-1.38,-1.05
STK11 (M),-0.99,-1.19,-0.31,-1.31,-0.0,-2.03
KEAP1 (M),-1.03,-0.0,-0.19,2.19,-2.32,-0.87
MET (M),-0.86,0.0,-0.55,-1.84,-1.0,-2.58
