,T0,T1,T2,A_1
T0,-0.8,-0.56,0.09,0.0
T1,-0.55,-1.96,0.0,-0.0
T2,0.01,0.05,-2.03,-0.55
A_1,0.0,-0.0,-0.72,-2.11
