,T0,T1,T2,B_1
T0,-0.8,-0.53,0.05,-0.0
T1,-0.56,-1.95,0.0,-0.02
T2,0.0,0.05,-2.07,-0.0
B_1,-0.0,-0.04,-0.66,-0.04
