,T0,T1,T2,C_3
T0,-0.78,-0.88,-0.0,-0.0
T1,-0.27,-2.0,0.0,-0.06
T2,0.19,0.09,-1.93,-0.59
C_3,-1.19,-0.0,-0.0,-0.13
