,T0,T1,T2,B_0
T0,-0.88,-1.31,0.18,-0.0
T1,-0.19,-1.93,-0.0,0.0
T2,-0.0,0.76,-2.1,-0.25
B_0,-0.01,0.62,-0.16,-1.72
