,T0,T1,T2,D_0
T0,-0.87,-1.3,0.11,0.0
T1,-0.38,-2.11,0.0,0.9
T2,-0.0,0.65,-2.11,-0.0
D_0,0.21,0.0,-0.16,-1.31
