,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),KMT2D (M)
ATRX (M),-3.38,-0.24,-0.56,-0.05,-0.0,-0.0
SETD2 (M),-0.22,-3.01,-0.31,0.0,-0.0,-0.0
BCL2/18q (Del),-0.07,-0.32,-1.08,0.47,-0.01,-0.38
SMAD4 (M),-0.18,0.0,0.0,-3.39,-0.02,-0.0
PIK3CA (M),0.0,-0.0,-0.46,-0.01,-2.79,-0.46
KMT2D (M),-0.0,-0.0,-0.45,-0.01,-0.46,-3.34
