,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),CDKN2A/9p (Del)
ATRX (M),-3.24,-0.23,-0.53,-0.02,0.0,-0.6
SETD2 (M),-0.18,-2.82,-0.28,0.0,-0.0,-0.87
BCL2/18q (Del),-0.0,-0.15,-1.19,0.61,-0.01,0.31
SMAD4 (M),-0.17,0.0,0.0,-3.21,-0.01,-0.69
PIK3CA (M),0.0,-0.0,-0.37,-0.01,-2.68,-0.51
CDKN2A/9p (Del),-0.41,-0.7,0.0,-0.73,-0.34,-0.67
