,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),null
ATRX (M),-3.37,-0.24,-0.58,-0.06,-0.0,0.0
SETD2 (M),-0.22,-3.01,-0.33,0.0,-0.0,0.0
BCL2/18q (Del),-0.06,-0.31,-1.09,0.46,-0.04,0.0
SMAD4 (M),-0.17,0.0,0.0,-3.39,-0.03,0.0
PIK3CA (M),-0.0,-0.0,-0.43,-0.01,-2.8,0.0
null,0.0,0.0,0.0,0.0,0.0,0.0
