,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),TERT/5p (Amp)
ATRX (M),-3.28,-0.25,-0.33,-0.04,0.0,-0.47
SETD2 (M),-0.12,-2.77,-0.25,0.0,-0.0,-1.06
BCL2/18q (Del),-0.2,-0.27,-1.09,0.51,-0.0,-0.0
SMAD4 (M),-0.13,0.0,0.0,-3.23,-0.01,-0.56
PIK3CA (M),0.0,-0.0,-0.42,-0.0,-2.64,-0.59
TERT/5p (Amp),-0.01,-0.79,-1.0,-0.22,-0.76,-0.41
