,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),SMARCA4 (M)
ATRX (M),-3.36,-0.19,-0.66,-0.03,-0.0,0.0
SETD2 (M),-0.25,-3.04,-0.07,0.0,-0.0,-0.46
BCL2/18q (Del),-0.01,-0.6,-1.08,0.5,-0.0,-0.16
SMAD4 (M),-0.13,0.0,0.0,-3.35,-0.02,-0.78
PIK3CA (M),0.0,-0.0,-0.48,-0.01,-2.77,-0.46
SMARCA4 (M),0.0,-0.01,-1.2,-0.58,-0.6,-2.43
