,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),BRAF (M)
ATRX (M),-3.38,-0.2,-0.52,-0.04,-0.0,0.0
SETD2 (M),-0.54,-3.2,-0.16,0.0,0.0,1.69
BCL2/18q (Del),-0.06,-0.29,-1.06,0.49,-0.05,-0.91
SMAD4 (M),-0.2,0.0,0.0,-3.38,-0.02,-0.13
PIK3CA (M),-0.0,-0.0,-0.43,-0.01,-2.78,-0.65
BRAF (M),0.51,0.0,-0.89,-0.33,-1.03,-2.76
