,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),RBM10 (M)
ATRX (M),-3.37,-0.25,-0.58,-0.04,-0.0,-0.0
SETD2 (M),-0.21,-3.02,-0.28,0.0,-0.0,0.0
BCL2/18q (Del),-0.01,-0.32,-1.04,0.49,-0.01,-0.58
SMAD4 (M),-0.13,0.0,0.0,-3.34,-0.01,-0.66
PIK3CA (M),0.0,-0.0,-0.43,-0.01,-2.78,-0.3
RBM10 (M),-0.0,0.0,-0.76,-0.43,-0.17,-1.93
