,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),EPHA7/6q (Del)
ATRX (M),-3.31,-0.19,-0.6,-0.03,0.0,-0.3
SETD2 (M),-0.21,-3.01,-0.32,0.0,-0.0,0.0
BCL2/18q (Del),-0.01,-0.31,-1.11,0.55,-0.0,0.06
SMAD4 (M),-0.11,0.0,0.0,-3.29,-0.01,-0.5
PIK3CA (M),0.0,-0.0,-0.35,-0.01,-2.68,-0.76
EPHA7/6q (Del),-0.03,0.02,0.01,-0.43,-0.43,-1.04
