,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),ARID1A (M)
ATRX (M),-3.38,-0.21,-0.55,-0.04,-0.0,0.0
SETD2 (M),-0.29,-3.04,-0.16,0.0,-0.0,0.0
BCL2/18q (Del),-0.02,-0.47,-1.06,0.5,-0.0,-1.02
SMAD4 (M),-0.21,0.0,0.0,-3.38,-0.08,-0.0
PIK3CA (M),-0.0,-0.0,-0.43,-0.0,-2.84,0.67
ARID1A (M),0.75,0.09,-0.34,-0.0,0.0,-2.95
