,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),RB1 (M)
ATRX (M),-3.37,-0.22,-0.59,-0.05,-0.0,-0.0
SETD2 (M),-0.2,-2.98,-0.33,0.0,-0.0,-1.53
BCL2/18q (Del),-0.03,-0.3,-1.08,0.49,-0.03,-0.42
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.06,-0.04
PIK3CA (M),-0.0,-0.0,-0.43,-0.0,-2.85,0.95
RB1 (M),-0.0,-1.5,-0.49,-0.0,0.0,-3.05
