,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),MYC/8q (Amp)
ATRX (M),-3.29,-0.22,-0.7,-0.01,0.0,-0.24
SETD2 (M),-0.13,-2.85,-0.46,0.0,-0.0,-0.58
BCL2/18q (Del),-0.0,-0.15,-1.09,0.51,-0.02,-0.02
SMAD4 (M),-0.18,0.0,0.0,-3.37,-0.03,-0.08
PIK3CA (M),0.0,-0.0,-0.39,-0.0,-2.65,-0.69
MYC/8q (Amp),-0.16,-0.94,-1.22,-0.29,-0.39,-0.6
