,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),MYC/8q (Amp)
TP53 (M),0.37,-2.85,-2.51,-0.7
MCL1/1q (Amp),0.19,-0.65,-0.12,-0.0
TERT/5p (Amp),0.56,-0.17,-0.8,-0.03
MYC/8q (Amp),0.0,-0.08,-0.0,-0.79
