,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),EGFR (M)
TP53 (M),0.36,-3.32,-2.39,-0.44
MCL1/1q (Amp),0.17,-0.73,-0.0,0.22
TERT/5p (Amp),0.52,-0.33,-0.79,0.16
EGFR (M),-0.0,-2.15,-0.97,-0.45
