,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),null
TP53 (M),0.3,-2.95,-2.64,0.0
MCL1/1q (Amp),0.18,-0.65,-0.1,0.0
TERT/5p (Amp),0.56,-0.18,-0.8,0.0
null,0.0,0.0,0.0,0.0
