,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),BCL2/18q (Del)
TP53 (M),0.4,-2.98,-2.63,-0.86
MCL1/1q (Amp),0.22,-0.6,-0.24,-0.13
TERT/5p (Amp),0.61,-0.0,-0.76,-0.64
BCL2/18q (Del),-0.09,-1.6,-0.01,-0.73
