,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),STK11 (M)
TP53 (M),0.41,-2.58,-2.96,-1.51
MCL1/1q (Amp),0.18,-0.64,-0.2,0.17
TERT/5p (Amp),0.55,-0.0,-0.77,-0.56
STK11 (M),-1.01,0.0,-1.72,-1.11
