,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),APC (M)
TP53 (M),0.3,-3.16,-2.61,0.0
MCL1/1q (Amp),0.19,-0.68,-0.01,-0.1
TERT/5p (Amp),0.56,-0.29,-0.78,-0.03
APC (M),-0.08,0.0,-0.57,-3.27
