,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KMT2D (M)
TP53 (M),0.3,-2.95,-2.63,-0.07
MCL1/1q (Amp),0.19,-0.65,-0.11,-0.16
TERT/5p (Amp),0.56,-0.17,-0.8,-0.08
KMT2D (M),-0.0,-1.07,-0.73,-3.02
