,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),EGFR/7p (Amp)
TP53 (M),0.37,-3.08,-2.33,-1.31
MCL1/1q (Amp),0.21,-0.66,-0.11,0.0
TERT/5p (Amp),0.44,-0.27,-0.87,0.62
EGFR/7p (Amp),0.95,-0.18,0.0,-1.23
