,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),ARID1A (M)
TP53 (M),0.3,-3.04,-2.57,0.0
MCL1/1q (Amp),0.2,-0.66,-0.03,-0.6
TERT/5p (Amp),0.56,-0.25,-0.78,-0.01
ARID1A (M),0.0,-0.34,-1.13,-2.64
