,T0,T1,T2,A_0
T0,-0.78,0.06,0.0,0.25
T1,0.0,-1.93,0.1,-0.0
T2,0.48,0.0,-2.01,-0.76
A_0,-0.08,-0.58,-0.65,-2.37
