,FAT1 (M),KRAS (M),BRAF (M),NOTCH3 (M)
FAT1 (M),-2.62,-1.44,0.11,0.0
KRAS (M),-0.89,-0.01,-3.15,-0.63
BRAF (M),0.0,-3.03,-1.28,0.0
NOTCH3 (M),1.2,-1.11,0.08,-2.84
