,FAT1 (M),KRAS (M),BRAF (M),B2M (M)
FAT1 (M),-2.61,-1.51,0.11,0.0
KRAS (M),-0.76,-0.01,-3.14,-0.84
BRAF (M),-0.0,-3.03,-1.28,0.1
B2M (M),1.85,-1.08,0.0,-2.91
