,FAT1 (M),KRAS (M),BRAF (M),null
FAT1 (M),-2.63,-1.41,0.13,0.0
KRAS (M),-0.95,-0.03,-3.15,0.0
BRAF (M),0.0,-3.05,-1.28,0.0
null,0.0,0.0,0.0,0.0
