,FAT1 (M),KRAS (M),BRAF (M),MTOR (M)
FAT1 (M),-2.64,-1.34,0.14,0.0
KRAS (M),-0.99,-0.01,-3.12,-0.61
BRAF (M),0.0,-3.04,-1.28,-0.0
MTOR (M),0.23,-0.61,-0.0,-2.87
