,FAT1 (M),KRAS (M),BRAF (M),KDM5A (M)
FAT1 (M),-2.63,-1.39,0.13,0.01
KRAS (M),-0.95,-0.01,-3.15,-0.97
BRAF (M),0.0,-3.02,-1.28,0.0
KDM5A (M),0.1,-1.42,0.01,-3.18
