,FAT1 (M),KRAS (M),BRAF (M),NF1 (M)
FAT1 (M),-2.71,-1.4,0.14,1.16
KRAS (M),-0.78,-0.0,-3.18,-1.46
BRAF (M),0.0,-3.01,-1.27,-0.27
NF1 (M),0.0,-1.42,-0.23,-2.75
