,FAT1 (M),KRAS (M),BRAF (M),RAC1/7p (Amp)
FAT1 (M),-2.11,-1.25,-0.0,-2.38
KRAS (M),-1.25,0.6,-4.34,-2.89
BRAF (M),-0.0,-2.69,-0.81,-1.61
RAC1/7p (Amp),-0.72,-0.51,-1.95,0.15
