,FAT1 (M),KRAS (M),BRAF (M),SPEN (M)
FAT1 (M),-2.75,-1.19,0.0,1.37
KRAS (M),-1.03,-0.01,-3.04,-1.01
BRAF (M),0.0,-3.1,-1.28,0.0
SPEN (M),0.0,-1.83,0.59,-2.84
