,FAT1 (M),KRAS (M),BRAF (M),SMAD4 (M)
FAT1 (M),-2.56,-1.43,0.17,-0.98
KRAS (M),-0.89,0.0,-3.09,-0.52
BRAF (M),0.0,-3.07,-1.27,-0.1
SMAD4 (M),-1.18,-0.18,-0.45,-1.81
