,FAT1 (M),KRAS (M),BRAF (M),CREBBP (M)
FAT1 (M),-2.73,-1.28,0.0,1.27
KRAS (M),-1.0,-0.01,-3.04,-0.67
BRAF (M),0.0,-3.11,-1.28,0.0
CREBBP (M),0.0,-1.16,0.47,-2.71
