,FAT1 (M),KRAS (M),BRAF (M),RNF43 (M)
FAT1 (M),-2.89,-0.98,-0.01,1.12
KRAS (M),-1.07,0.02,-2.85,-1.21
BRAF (M),-0.0,-3.05,-1.28,0.0
RNF43 (M),0.0,-1.81,1.59,-2.08
