,FAT1 (M),KRAS (M),BRAF (M),ASXL1 (M)
FAT1 (M),-2.74,-1.18,0.15,1.16
KRAS (M),-1.09,-0.01,-3.08,-0.87
BRAF (M),0.0,-3.08,-1.28,-0.0
ASXL1 (M),0.0,-1.23,-0.09,-2.84
