,FAT1 (M),KRAS (M),BRAF (M),ARID1A (M)
FAT1 (M),-2.89,-1.11,0.01,1.24
KRAS (M),-1.0,0.03,-2.94,-0.93
BRAF (M),0.0,-3.17,-1.28,-0.0
ARID1A (M),-0.0,-1.6,-0.16,-1.64
