,FAT1 (M),KRAS (M),BRAF (M),AMER1 (M)
FAT1 (M),-2.63,-1.37,0.15,0.0
KRAS (M),-1.01,-0.03,-3.14,0.0
BRAF (M),0.0,-3.05,-1.28,-0.0
AMER1 (M),0.3,0.02,-0.23,-2.64
