,FAT1 (M),KRAS (M),BRAF (M),FBXW7/4q (Del)
FAT1 (M),-2.29,-1.35,0.0,-2.64
KRAS (M),-1.3,0.26,-3.11,-1.47
BRAF (M),-0.0,-3.22,-1.01,-1.31
FBXW7/4q (Del),-2.34,-1.17,-1.61,-0.4
