,FAT1 (M),KRAS (M),BRAF (M),FBXW7 (M)
FAT1 (M),-2.65,-1.29,0.15,0.0
KRAS (M),-0.98,0.03,-2.94,-0.81
BRAF (M),0.0,-3.18,-1.27,-0.0
FBXW7 (M),0.31,-0.43,-0.27,-1.64
