,FAT1 (M),KRAS (M),BRAF (M),ASXL1/20q (Amp)
FAT1 (M),-1.3,-2.72,-0.43,-2.66
KRAS (M),-0.73,0.67,-3.56,-1.04
BRAF (M),-0.96,-3.5,-0.06,-2.21
ASXL1/20q (Amp),-2.15,-4.14,-4.43,1.9
