,FAT1 (M),KRAS (M),BRAF (M),ARID1A/1p (Del)
FAT1 (M),-2.33,-1.38,0.0,-2.18
KRAS (M),-1.07,0.21,-3.26,-1.27
BRAF (M),-0.0,-3.05,-1.02,-1.54
ARID1A/1p (Del),-1.55,-0.8,-1.98,-0.51
