,FAT1 (M),KRAS (M),BRAF (M),PTEN (M)
FAT1 (M),-2.71,-1.02,0.2,0.0
KRAS (M),-1.43,-0.02,-2.97,-0.18
BRAF (M),0.0,-3.21,-1.27,-0.0
PTEN (M),0.97,-1.02,-0.0,-2.49
