,T0,T1,T2,A_0
T0,-0.87,-0.19,-0.07,0.04
T1,-0.55,-1.76,0.0,-0.0
T2,-0.0,0.4,-2.26,-0.97
A_0,0.01,-0.58,-0.04,-2.51
