,T0,T1,T2,B_0
T0,-0.82,-0.91,-0.01,0.03
T1,0.0,-1.91,0.31,-0.0
T2,-0.01,0.0,-2.24,-0.01
B_0,-0.18,0.3,-0.11,-1.57
