,T0,T1,T2,D_0
T0,-0.88,-0.99,-0.08,0.25
T1,-0.0,-1.91,0.31,-0.0
T2,0.0,-0.0,-2.25,0.0
D_0,-0.09,0.76,-0.04,-0.69
