,ATRX (M),SETD2 (M),EGFR/7p (Amp)
ATRX (M),-3.35,-0.3,-0.55
SETD2 (M),-0.24,-2.87,-0.97
EGFR/7p (Amp),-0.57,-0.95,-0.81
