,ATRX (M),SETD2 (M),EPHA7/6q (Del)
ATRX (M),-3.41,-0.23,-0.34
SETD2 (M),-0.27,-3.08,-0.0
EPHA7/6q (Del),-0.13,-0.0,-1.07
