,ATRX (M),SETD2 (M),CDKN2A/9p (Del)
ATRX (M),-3.33,-0.29,-0.58
SETD2 (M),-0.24,-2.87,-0.86
CDKN2A/9p (Del),-0.58,-0.82,-0.69
