,STK11 (M),KEAP1 (M),MCL1/1q (Amp)
STK11 (M),-2.14,2.28,-0.0
KEAP1 (M),0.0,-2.09,-0.0
MCL1/1q (Amp),-0.41,0.05,-0.57
