,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),MTOR (M)
SMAD4 (M),-1.81,-1.16,-0.13,-0.51,-0.36
FAT1 (M),-0.97,-2.58,-1.32,0.18,0.0
KRAS (M),-0.6,-0.99,0.01,-2.96,-0.36
BRAF (M),-0.0,0.0,-3.17,-1.28,-0.0
MTOR (M),-0.98,0.18,-0.78,-0.0,-2.76
