,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),MAPK3/16p (Amp)
SMAD4 (M),-1.59,-1.26,-0.01,-0.6,-2.31
FAT1 (M),-0.94,-2.34,-1.34,0.06,-1.49
KRAS (M),-0.84,-0.97,0.33,-3.45,-2.89
BRAF (M),-0.05,0.0,-2.94,-0.99,-2.14
MAPK3/16p (Amp),-0.3,-0.54,-0.29,-1.58,-0.77
