,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),RNF43 (M)
SMAD4 (M),-1.71,-1.08,-0.4,-0.7,-0.0
FAT1 (M),-1.04,-2.51,-1.73,0.11,0.0
KRAS (M),-0.23,-0.51,0.04,-2.83,-1.59
BRAF (M),-0.0,0.0,-3.04,-1.28,-0.0
RNF43 (M),-0.42,1.07,-1.44,1.61,-2.16
